Date,Forecast
2025-03-17 04:49:14,4399693031.658065
2025-03-18 04:49:14,4380660869.892486
2025-03-19 04:49:14,4359165747.079069
2025-03-20 04:49:14,4340611754.071981
2025-03-21 04:49:14,4327599292.775326
2025-03-22 04:49:14,4320373143.786344
2025-03-23 04:49:14,4317618369.148625
2025-03-24 04:49:14,4317346622.968937
2025-03-25 04:49:14,4317630388.691189
2025-03-26 04:49:14,4317062073.363473
2025-03-27 04:49:14,4314929649.736124
2025-03-28 04:49:14,4311156035.9600935
2025-03-29 04:49:14,4306102811.231011
2025-03-30 04:49:14,4300327995.877093
2025-03-31 04:49:14,4294376022.9175696
2025-04-01 04:49:14,4288646306.977703
2025-04-02 04:49:14,4283341246.702482
2025-04-03 04:49:14,4278485612.8013625
2025-04-04 04:49:14,4273981158.57861
2025-04-05 04:49:14,4269675026.808151
2025-04-06 04:49:14,4265417495.796751
2025-04-07 04:49:14,4261098821.894921
2025-04-08 04:49:14,4256661833.887164
2025-04-09 04:49:14,4252098797.459137
2025-04-10 04:49:14,4247436521.4166417
2025-04-11 04:49:14,4242716447.0520825
2025-04-12 04:49:14,4237979493.069054
2025-04-13 04:49:14,4233257380.608147
2025-04-14 04:49:14,4228565055.7092447
2025-04-15 04:49:14,4223904608.727575
