Date,Forecast
2024-03-17 00:00:00,3530651840.7069607
2024-03-18 00:00:00,3532467795.217785
2024-03-19 00:00:00,3527785345.2021546
2024-03-20 00:00:00,3508159548.9465566
2024-03-21 00:00:00,3517569434.154985
2024-03-22 00:00:00,3511489091.352822
2024-03-23 00:00:00,3520368936.8038077
2024-03-24 00:00:00,3518351596.392107
2024-03-25 00:00:00,3520167550.9029465
2024-03-26 00:00:00,3515485100.8872933
2024-03-27 00:00:00,3495859304.6317196
2024-03-28 00:00:00,3505269189.8391523
2024-03-29 00:00:00,3499188847.0369744
2024-03-30 00:00:00,3508068692.4288716
2024-03-31 00:00:00,3506051351.959126
2024-04-01 00:00:00,3507867306.4109545
2024-04-02 00:00:00,3503184856.334742
2024-04-03 00:00:00,3483559060.0216026
2024-04-04 00:00:00,3492968945.1699452
2024-04-05 00:00:00,3486888602.3087068
2024-04-06 00:00:00,3495768447.700622
2024-04-07 00:00:00,3493751107.2308645
2024-04-08 00:00:00,3495567061.6816244
2024-04-09 00:00:00,3490884611.605458
2024-04-10 00:00:00,3471258815.5006785
2024-04-11 00:00:00,3480668700.8584414
2024-04-12 00:00:00,3474588358.2040462
2024-04-13 00:00:00,3483468203.805875
2024-04-14 00:00:00,3481450863.5444574
2024-04-15 00:00:00,3483266818.2036767
2024-04-16 00:00:00,3478584368.3358636
2024-04-17 00:00:00,3458958572.2310953
2024-04-18 00:00:00,3468368457.588853
2024-04-19 00:00:00,3462288114.934443
2024-04-20 00:00:00,3471167960.5352693
2024-04-21 00:00:00,3469150620.2739067
2024-04-22 00:00:00,3470966574.9448256
2024-04-23 00:00:00,3466284125.0876656
2024-04-24 00:00:00,3446658328.9936347
2024-04-25 00:00:00,3456068214.3620934
2024-04-26 00:00:00,3449987871.718406
2024-04-27 00:00:00,3458867717.32995
2024-04-28 00:00:00,3456850377.079281
2024-04-29 00:00:00,3458666331.7486396
2024-04-30 00:00:00,3453983881.89311
2024-05-01 00:00:00,3434358085.798017
2024-05-02 00:00:00,3443767971.166488
2024-05-03 00:00:00,3437687628.522819
2024-05-04 00:00:00,3446567474.2586937
2024-05-05 00:00:00,3444550134.1313334
2024-05-06 00:00:00,3446366088.924028
2024-05-07 00:00:00,3441683639.191759
2024-05-08 00:00:00,3422057843.2200108
2024-05-09 00:00:00,3431467728.711815
2024-05-10 00:00:00,3425387386.1914535
2024-05-11 00:00:00,3434267231.9273224
2024-05-12 00:00:00,3432249891.7989807
2024-05-13 00:00:00,3434065846.5916157
2024-05-14 00:00:00,3429383396.8594236
2024-05-15 00:00:00,3409757600.90585
2024-05-16 00:00:00,3419167486.4132676
2024-05-17 00:00:00,3413087143.9116435
2024-05-18 00:00:00,3421966989.664733
2024-05-19 00:00:00,3419949649.5535645
2024-05-20 00:00:00,3421765604.3634
2024-05-21 00:00:00,3417083154.648332
2024-05-22 00:00:00,3397457358.6948047
2024-05-23 00:00:00,3406867244.202213
2024-05-24 00:00:00,3400786901.6995997
2024-05-25 00:00:00,3409666747.4526305
2024-05-26 00:00:00,3407649407.340953
2024-05-27 00:00:00,3409465336.5257554
2024-05-28 00:00:00,3404782861.184078
2024-05-29 00:00:00,3385157039.60401
2024-05-30 00:00:00,3394566899.4848313
2024-05-31 00:00:00,3388486531.355623
2024-06-01 00:00:00,3397366351.4821057
2024-06-02 00:00:00,3395348985.7438335
2024-06-03 00:00:00,3397164914.9286523
2024-06-04 00:00:00,3392482439.5859666
2024-06-05 00:00:00,3372856618.0058446
2024-06-06 00:00:00,3382266477.8866954
2024-06-07 00:00:00,3375071289.9919515
2024-06-08 00:00:00,3382836290.351941
2024-06-09 00:00:00,3379704104.84709
2024-06-10 00:00:00,3380405214.2653947
2024-06-11 00:00:00,3374607919.156157
2024-06-12 00:00:00,3353867277.808008
2024-06-13 00:00:00,3362162317.923864
2024-06-14 00:00:00,3354967130.0291066
2024-06-15 00:00:00,3362732130.388061
2024-06-16 00:00:00,3359599944.883296
2024-06-17 00:00:00,3360301054.3015404
2024-06-18 00:00:00,3354503759.1933665
2024-06-19 00:00:00,3333763117.8404355
2024-06-20 00:00:00,3342058157.9515743
2024-06-21 00:00:00,3334862970.0520906
2024-06-22 00:00:00,3342627970.406336
2024-06-23 00:00:00,3339495784.8967686
2024-06-24 00:00:00,3340196894.310323
2024-06-25 00:00:00,3334399599.1973987
2024-06-26 00:00:00,3313658957.8445086
2024-06-27 00:00:00,3321953997.9546347
2024-06-28 00:00:00,3314758810.055153
2024-06-29 00:00:00,3322523810.408812
2024-06-30 00:00:00,3319391624.900845
2024-07-01 00:00:00,3320092734.3491244
2024-07-02 00:00:00,3314295439.270878
2024-07-03 00:00:00,3293554797.9527087
2024-07-04 00:00:00,3301849838.0975137
2024-07-05 00:00:00,3294654650.2327676
2024-07-06 00:00:00,3302419650.621153
2024-07-07 00:00:00,3299287465.1478453
2024-07-08 00:00:00,3299988574.5950933
2024-07-09 00:00:00,3294191279.5154276
2024-07-10 00:00:00,3273450638.1987
2024-07-11 00:00:00,3281745678.3445435
2024-07-12 00:00:00,3274550490.5033174
2024-07-13 00:00:00,3282315490.915242
2024-07-14 00:00:00,3279183305.465451
2024-07-15 00:00:00,3279884414.936291
2024-07-16 00:00:00,3274087119.880126
2024-07-17 00:00:00,3253346478.586944
2024-07-18 00:00:00,3261641518.7563167
2024-07-19 00:00:00,3254446330.914102
2024-07-20 00:00:00,3262211331.3259892
2024-07-21 00:00:00,3259079145.8762627
2024-07-22 00:00:00,3259780255.3480525
2024-07-23 00:00:00,3253982960.291863
2024-07-24 00:00:00,3233242318.939099
2024-07-25 00:00:00,3241537359.0488763
2024-07-26 00:00:00,3234342171.146489
2024-07-27 00:00:00,3242107171.4993253
2024-07-28 00:00:00,3238974985.98997
2024-07-29 00:00:00,3239676095.402206
2024-07-30 00:00:00,3233878800.28638
2024-07-31 00:00:00,3213138158.932623
2024-08-01 00:00:00,3221433199.0423903
2024-08-02 00:00:00,3214238011.1400223
2024-08-03 00:00:00,3222003011.493868
2024-08-04 00:00:00,3218870825.9845014
2024-08-05 00:00:00,3219571935.397349
2024-08-06 00:00:00,3213774640.2820597
2024-08-07 00:00:00,3193033998.9289227
2024-08-08 00:00:00,3201329039.0392995
2024-08-09 00:00:00,3194133851.1375136
