Date,Forecast
2024-03-14 00:00:00,68066.15988008301
2024-03-15 00:00:00,68085.50342489927
2024-03-16 00:00:00,68153.26879981879
2024-03-17 00:00:00,68039.7518641676
2024-03-18 00:00:00,67989.01889452123
2024-03-19 00:00:00,67893.5686119328
2024-03-20 00:00:00,67510.03256372183
2024-03-21 00:00:00,67778.5552940726
2024-03-22 00:00:00,67797.89883888874
2024-03-23 00:00:00,67865.66421380878
2024-03-24 00:00:00,67752.14727815641
2024-03-25 00:00:00,67701.41430851037
2024-03-26 00:00:00,67605.9640259216
2024-03-27 00:00:00,67222.42798056277
2024-03-28 00:00:00,67490.9507136386
2024-03-29 00:00:00,67510.29426130612
2024-03-30 00:00:00,67578.05963907739
2024-03-31 00:00:00,67464.54270640378
2024-04-01 00:00:00,67413.80973961034
2024-04-02 00:00:00,67318.35945982038
2024-04-03 00:00:00,66934.82341451429
2024-04-04 00:00:00,67203.34614759014
2024-04-05 00:00:00,67222.68969525756
2024-04-06 00:00:00,67290.45507302905
2024-04-07 00:00:00,67176.9381324715
2024-04-08 00:00:00,67126.20515766667
2024-04-09 00:00:00,67030.75486999366
2024-04-10 00:00:00,66647.21881680372
2024-04-11 00:00:00,66915.74154212313
2024-04-12 00:00:00,66935.08508185289
2024-04-13 00:00:00,67002.85045179412
2024-04-14 00:00:00,66889.33351123615
2024-04-15 00:00:00,66838.60053643235
2024-04-16 00:00:00,66743.1502487588
2024-04-17 00:00:00,66359.61419556905
2024-04-18 00:00:00,66628.13692088853
2024-04-19 00:00:00,66647.48046603854
2024-04-20 00:00:00,66715.2458412738
2024-04-21 00:00:00,66601.72890613755
2024-04-22 00:00:00,66550.9959368808
2024-04-23 00:00:00,66455.545654627
2024-04-24 00:00:00,66072.00960685838
2024-04-25 00:00:00,66340.53233759786
2024-04-26 00:00:00,66359.8758827484
2024-04-27 00:00:00,66427.6412579837
2024-04-28 00:00:00,66314.12432284714
2024-04-29 00:00:00,66263.39135353646
2024-04-30 00:00:00,66167.94107133802
2024-05-01 00:00:00,65784.40502563235
2024-05-02 00:00:00,66052.92775856264
2024-05-03 00:00:00,66072.27130590443
2024-05-04 00:00:00,66140.03668345705
2024-05-05 00:00:00,66026.51975051095
2024-05-06 00:00:00,65975.78678339123
2024-05-07 00:00:00,65880.33650338257
2024-05-08 00:00:00,65496.800457677324
2024-05-09 00:00:00,65765.32319060799
2024-05-10 00:00:00,65784.66673794927
2024-05-11 00:00:00,65852.43211550218
2024-05-12 00:00:00,65738.91518522304
2024-05-13 00:00:00,65688.18222089602
2024-05-14 00:00:00,65592.7319436821
2024-05-15 00:00:00,65209.19590089704
2024-05-16 00:00:00,65477.71863656637
2024-05-17 00:00:00,65497.06218675592
2024-05-18 00:00:00,65564.8275671031
2024-05-19 00:00:00,65451.310636823735
2024-05-20 00:00:00,65400.57767249698
2024-05-21 00:00:00,65305.12739528211
2024-05-22 00:00:00,64921.591352497664
2024-05-23 00:00:00,65190.11408816718
2024-05-24 00:00:00,65209.454838224025
2024-05-25 00:00:00,65277.217418563676
2024-05-26 00:00:00,65163.69768835187
2024-05-27 00:00:00,65112.96192407268
2024-05-28 00:00:00,65017.50884685111
2024-05-29 00:00:00,64633.97000406106
2024-05-30 00:00:00,64902.48993972445
2024-05-31 00:00:00,64921.83068978092
2024-06-01 00:00:00,64989.5932701212
2024-06-02 00:00:00,64876.073539909165
2024-06-03 00:00:00,64825.33777563025
2024-06-04 00:00:00,64718.07461887635
2024-06-05 00:00:00,64322.72569668027
2024-06-06 00:00:00,64579.435552938594
2024-06-07 00:00:00,64586.96622371591
2024-06-08 00:00:00,64642.918724651405
2024-06-09 00:00:00,64517.58891503301
2024-06-10 00:00:00,64455.04307134894
2024-06-11 00:00:00,64347.7799145947
2024-06-12 00:00:00,63952.43099234542
2024-06-13 00:00:00,64209.14084865761
2024-06-14 00:00:00,64216.67151943455
2024-06-15 00:00:00,64272.62402024273
2024-06-16 00:00:00,64147.29337093073
2024-06-17 00:00:00,64084.746687550476
2024-06-18 00:00:00,63977.48269122886
2024-06-19 00:00:00,63582.132929283376
2024-06-20 00:00:00,63838.84194590074
2024-06-21 00:00:00,63846.37177698234
2024-06-22 00:00:00,63902.32343809554
2024-06-23 00:00:00,63776.99278878253
2024-06-24 00:00:00,63714.44610540272
2024-06-25 00:00:00,63607.18210908077
2024-06-26 00:00:00,63211.83234713588
2024-06-27 00:00:00,63468.54136362644
2024-06-28 00:00:00,63476.071192985844
2024-06-29 00:00:00,63532.02285244899
2024-06-30 00:00:00,63406.69220146814
2024-07-01 00:00:00,63344.145516366225
2024-07-02 00:00:00,63236.88151832142
2024-07-03 00:00:00,62841.53175465438
2024-07-04 00:00:00,63098.240769421725
